Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2016-03-21;9.893,26;10.095,46;9.863,83;9.925,89;1.764.851.712
2016-03-18;9.905,67;9.961,48;9.822,52;9.950,8;8.494.747.648
2016-03-17;10.051,69;10.055,29;9.753,04;9.892,2;3.903.401.728
2016-03-16;9.971,04;10.021,7;9.917,92;9.983,41;3.237.577.216
2016-03-15;9.941,46;9.973,58;9.890,12;9.933,85;2.655.412.992
2016-03-14;9.948,21;10.039,61;9.936,06;9.990,26;3.042.022.912
2016-03-11;9.672,05;9.833,9;9.642,79;9.831,13;3.800.439.296
2016-03-10;9.697,64;9.995,84;9.498,15;9.498,15;6.030.106.624
2016-03-09;9.700,16;9.838,95;9.679,19;9.723,09;3.439.289.856
2016-03-08;9.688,47;9.785,05;9.617,69;9.692,82;3.311.015.680
2016-03-07;9.764,08;9.803,73;9.690;9.778,93;2.519.621.888
2016-03-04;9.800,86;9.899,11;9.742,76;9.824,17;3.380.773.376
2016-03-03;9.807,06;9.808,52;9.709,68;9.751,92;3.003.942.400
2016-03-02;9.780,84;9.837,11;9.695,98;9.776,62;3.515.852.032
2016-03-01;9.482,66;9.719,02;9.471,09;9.717,16;3.361.669.888
2016-02-29;9.424,93;9.498,57;9.332,42;9.495,4;3.332.891.904
2016-02-26;9.454,52;9.576,88;9.436,33;9.513,3;3.543.656.192
2016-02-25;9.277,02;9.391,31;9.199,09;9.331,48;3.393.822.976
2016-02-24;9.396,48;9.415,33;9.125,19;9.167,8;3.577.020.416
2016-02-23;9.503,12;9.535,12;9.405,22;9.416,77;2.944.217.088
2016-02-22;9.481,37;9.581,45;9.477,69;9.573,59;2.807.951.872
2016-02-19;9.420,51;9.474,02;9.319,1;9.388,05;3.694.096.128
2016-02-18;9.428,01;9.551,87;9.349,95;9.463,64;3.655.541.504
2016-02-17;9.174,28;9.394,62;9.156,14;9.377,21;3.617.709.568
2016-02-16;9.242,75;9.269,06;9.079,19;9.135,11;3.089.120.256
2016-02-15;9.163,54;9.249,46;9.134,76;9.206,84;3.569.944.832
2016-02-12;8.854,4;8.967,51;8.815,77;8.967,51;4.154.094.592
2016-02-11;8.887,89;8.899,57;8.699,29;8.752,87;4.673.121.280
2016-02-10;8.937,98;9.128,54;8.875,45;9.017,29;4.044.150.784
2016-02-09;8.980,71;9.041,9;8.772,88;8.879,4;4.998.994.432
2016-02-08;9.329,87;9.337,52;8.937,98;8.979,36;4.875.351.552
2016-02-05;9.375,29;9.469,71;9.250,84;9.286,23;4.369.835.520
2016-02-04;9.522,67;9.539,92;9.270,09;9.393,36;4.731.516.416
2016-02-03;9.541,53;9.577,2;9.350,98;9.434,82;4.300.801.024
2016-02-02;9.721,18;9.729,23;9.536,97;9.581,04;3.541.710.848
2016-02-01;9.823,73;9.827,1;9.638,58;9.757,88;3.072.775.936
2016-01-29;9.772,58;9.798,38;9.656,36;9.798,11;4.079.750.400
2016-01-28;9.826,28;9.905,08;9.594,8;9.639,59;3.905.354.496
2016-01-27;9.781,42;9.880,82;9.728,64;9.880,82;3.282.937.856
2016-01-26;9.599,56;9.867,18;9.563,64;9.822,75;3.895.965.184
2016-01-25;9.790,44;9.800,49;9.681,7;9.736,15;3.197.269.248
2016-01-22;9.762,55;9.837,62;9.704,9;9.764,88;4.370.950.656
2016-01-21;9.400,69;9.656,33;9.348,74;9.574,16;4.963.624.448
2016-01-20;9.430,13;9.490,45;9.314,57;9.391,64;4.825.819.136
2016-01-19;9.722,64;9.756,14;9.626,65;9.664,21;3.396.201.216
2016-01-18;9.542,6;9.657,94;9.457,95;9.521,85;3.383.297.536
2016-01-15;9.778,36;9.832,92;9.459,09;9.545,27;5.862.219.264
2016-01-14;9.836,85;9.884,27;9.614,77;9.794,2;5.324.136.448
2016-01-13;10.112,35;10.164,05;9.929,07;9.960,96;3.430.627.328
2016-01-12;9.832,82;10.092,67;9.832,82;9.985,43;3.708.558.080
2016-01-11;9.814,04;9.978,69;9.813,02;9.825,07;3.578.257.664
2016-01-08;10.010,47;10.122,46;9.849,34;9.849,34;3.938.901.760
2016-01-07;10.144,17;10.145,47;9.810,47;9.979,85;5.048.312.832
2016-01-06;10.288,68;10.288,68;10.094,18;10.214,02;3.592.296.704
2016-01-05;10.373,27;10.384,26;10.173,52;10.310,1;3.470.784.256
2016-01-04;10.485,81;10.485,91;10.248,58;10.283,44;4.934.835.712
2015-12-30;10.855,17;10.857,43;10.743,01;10.743,01;1.395.427.456
2015-12-29;10.744,96;10.860,14;10.731,63;10.860,14;1.984.780.416
2015-12-28;10.748,37;10.756,17;10.627,46;10.653,91;1.255.261.824
2015-12-23;10.623,56;10.743,32;10.595,27;10.727,64;2.605.014.528
2015-12-22;10.598,19;10.623,98;10.400,61;10.488,75;2.520.793.344
2015-12-21;10.607,2;10.796,03;10.497,77;10.497,77;3.135.258.880
2015-12-18;10.639,98;10.735,85;10.543,05;10.608,19;8.456.462.336
2015-12-17;10.685,3;10.829,62;10.656,39;10.738,12;4.655.305.728
2015-12-16;10.476,06;10.572,55;10.423,78;10.469,26;3.097.020.416
2015-12-15;10.239,8;10.482,75;10.237,48;10.450,38;3.988.668.160
2015-12-14;10.406,71;10.448,65;10.122,95;10.139,34;3.950.923.008
2015-12-11;10.572,86;10.596,03;10.294,25;10.340,06;4.054.492.416
2015-12-10;10.547,52;10.662,77;10.500,03;10.598,93;3.117.427.456
2015-12-09;10.719,7;10.719,7;10.554,54;10.592,49;3.782.085.376
2015-12-08;10.872,68;10.895,5;10.616,24;10.673,6;3.563.608.832
2015-12-07;10.832,42;10.992,55;10.806,52;10.886,09;2.924.958.208
2015-12-04;10.770,16;10.814,82;10.632,77;10.752,1;4.450.473.472
2015-12-03;11.173,79;11.318,8;10.780,63;10.789,24;6.836.425.728
2015-12-02;11.301,51;11.329,79;11.188,03;11.190,02;3.400.502.528
2015-12-01;11.422,47;11.430,38;11.235,97;11.261,24;4.566.501.888
2015-11-30;11.268,31;11.430,87;11.253,37;11.382,23;4.228.451.328
2015-11-27;11.277,91;11.354,01;11.247,14;11.293,76;2.593.300.224
2015-11-26;11.180,94;11.366,37;11.176,56;11.320,77;3.375.746.132
2015-11-25;10.958,4;11.186,68;10.921,71;11.169,54;3.533.727.488
2015-11-24;11.064,78;11.064,96;10.869,2;10.933,99;3.590.022.656
2015-11-23;11.105,92;11.126,34;11.049,99;11.092,31;2.480.625.920
2015-11-20;11.123,81;11.164,3;11.049,35;11.119,83;3.186.330.880
2015-11-19;11.061,88;11.150,74;11.045,53;11.085,44;3.075.566.848
2015-11-18;10.901,74;10.989,55;10.877,6;10.959,95;2.472.055.552
2015-11-17;10.810,92;10.971,04;10.782,91;10.971,04;3.094.149.120
2015-11-16;10.609,14;10.763,65;10.608,83;10.713,23;2.589.045.248
